id;relation;mots;mots_rel;Label
1620;(('EG', 'ET'), ('nmod',));('commodités', 'à', 'le', 'pied');('commodités', 'pied');1
1621;(('ET', 'EG'), ('nmod',));('pieds', 'de', 'les', 'commodités');('pieds', 'commodités');1
1622;(('TOPONYME', 'ET'), ('nmod',));('Le Cannet', 'Carnot', ',', 'à', 'le', 'pieds');('Le Cannet', 'pieds');0
1623;(('ET', 'EG'), ('nmod',));('pieds', 'de', 'les', 'commodités');('pieds', 'commodités');1
1624;(('EG', 'ET'), ('nmod',));('Square', 'Carnot', ',', 'à', 'le', 'pieds');('Square', 'pieds');0
1625;(('ET', 'EG'), ('nmod',));('pieds', 'de', 'les', 'commodités');('pieds', 'commodités');1
1626;(('TOPONYME', 'ET'), ('nmod',));('Le Cannet', 'Carnot', ',', 'à', 'le', 'pieds');('Le Cannet', 'pieds');0
1627;(('ET', 'EG', 'TOPONYME'), ('nmod', 'nmod'));('minutes', 'de', 'les', 'plages', 'de', 'Mandelieu');('minutes', 'plages', 'Mandelieu');0
1628;(('ET', 'EG', 'TOPONYME'), ('nmod', 'nmod'));('minutes', 'de', 'l', 'aéroport', 'de', 'Nice');('minutes', 'aéroport', 'Nice');0
1629;(('ET', 'EG'), ('obl:arg',));('proche', 'de', 'le', 'village');('proche', 'village');1
1630;(('ET', 'EG'), ('nmod',));('minutes', 'de', 'les', 'plages');('minutes', 'plages');1
1631;(('ET', 'ET', 'EG'), ('conj', 'nmod'));('minutes', 'de', 'les', 'plages', 'de', 'Mandelieu', ',', '30', 'minutes', 'de', 'l', 'aéroport');('minutes', 'minutes', 'aéroport');0
1632;(('ET', 'EG'), ('nmod',));('minutes', 'de', 'l', 'aéroport');('minutes', 'aéroport');1
1633;(('TOPONYME', 'ET'), ('amod',));('Roquette sur Siagne', ',', 'proche');('Roquette sur Siagne', 'proche');0
1634;(('ET', 'EG', 'EG'), ('obl:arg', 'conj'));('Proche', 'de', 'toutes', 'commodités', 'et', 'de', 'le', 'tramway');('Proche', 'commodités', 'tramway');1
1635;(('ET', 'EG'), ('obl:arg',));('Proche', 'de', 'toutes', 'commodités');('Proche', 'commodités');1
1636;(('EG', 'ET'), ('root',));('Proche', 'de', 'toutes', 'commodités', 'et', 'de', 'le', 'tramway');('tramway', 'Proche');0
1637;(('EG', 'EG', 'ET'), ('conj', 'root'));('Proche', 'de', 'toutes', 'commodités', 'et', 'de', 'le', 'tramway');('commodités', 'tramway', 'Proche');0
1638;(('ET', 'EG'), ('obl:arg',));('proche', 'de', 'les', 'commodités');('proche', 'commodités');1
1639;(('EG', 'ET'), ('conj',));('ligne 2', 'de', 'le', 'tramway', 'et', 'proche');('ligne 2', 'proche');0
1640;(('ET', 'TOPONYME'), ('nmod',));('minutes', 'de', 'Golf Juan');('minutes', 'Golf Juan');1
1641;(('ET', 'TOPONYME'), ('nmod',));('minutes', 'de', 'Golf Juan', ',', 'entre', 'Nice');('minutes', 'Nice');0
1642;(('ET', 'TOPONYME', 'TOPONYME'), ('nmod', 'conj'));('minutes', 'de', 'Golf Juan', ',', 'entre', 'Nice', 'et', 'Cannes');('minutes', 'Nice', 'Cannes');0
1643;(('ET', 'VERB', 'EG'), ('acl:relcl', 'nsubj:pass'));('minutes', 'de', 'Golf Juan', ',', 'entre', 'Nice', 'et', 'Cannes', 'que', 'se', 'situe', 'la', 'douce', 'commune');('minutes', 'situe', 'commune');0
1644;(('ET', 'EG'), ('nmod',));('coeur', 'd', 'un', 'écrin de verdure');('coeur', 'écrin de verdure');1
1645;(('ET', 'EG'), ('nmod',));('pas', 'de', 'le', 'centre historique');('pas', 'centre historique');1
1646;(('ET', 'EG'), ('nmod',));('proximité', 'immédiate', 'de', 'les', 'commerces');('proximité', 'commerces');1
1647;(('ET', 'EG', 'EG'), ('nmod', 'conj'));('proximité', 'immédiate', 'de', 'les', 'commerces', 'et', 'de', 'les', 'écoles');('proximité', 'commerces', 'écoles');1
1648;(('ET', 'TOPONYME'), ('nmod',));('minutes', 'de', 'Golf Juan');('minutes', 'Golf Juan');1
1649;(('ET', 'TOPONYME'), ('nmod',));('minutes', 'de', 'Golf Juan', ',', 'entre', 'Nice');('minutes', 'Nice');0
1650;(('ET', 'TOPONYME', 'TOPONYME'), ('nmod', 'conj'));('minutes', 'de', 'Golf Juan', ',', 'entre', 'Nice', 'et', 'Cannes');('minutes', 'Nice', 'Cannes');0
1651;(('ET', 'VERB', 'EG'), ('acl:relcl', 'nsubj:pass'));('minutes', 'de', 'Golf Juan', ',', 'entre', 'Nice', 'et', 'Cannes', 'que', 'se', 'situe', 'la', 'douce', 'commune');('minutes', 'situe', 'commune');0
1652;(('ET', 'EG'), ('nmod',));('coeur', 'd', 'un', 'écrin de verdure');('coeur', 'écrin de verdure');1
1653;(('ET', 'EG'), ('nmod',));('pas', 'de', 'le', 'centre historique');('pas', 'centre historique');1
1654;(('ET', 'EG'), ('nmod',));('proximité', 'immédiate', 'de', 'les', 'commerces');('proximité', 'commerces');1
1655;(('ET', 'EG', 'EG'), ('nmod', 'conj'));('proximité', 'immédiate', 'de', 'les', 'commerces', 'et', 'de', 'les', 'écoles');('proximité', 'commerces', 'écoles');1
1656;(('ET', 'TOPONYME'), ('nmod',));('coeur', 'de', 'Nice');('coeur', 'Nice');1
1657;(('ET', 'EG'), ('appos',));('aperçu', 'mer');('aperçu', 'mer');1
1658;(('EG', 'ET'), ('case',));('Proche', 'des', 'bus');('bus', 'Proche');1
1659;(('ET', 'EG'), ('nmod',));('proximité', 'immédiate', 'de', 'le', 'centre');('proximité', 'centre');1
1660;(('ET', 'EG', 'EG'), ('nmod', 'conj'));('proximité', 'immédiate', 'de', 'le', 'centre', 'et', 'de', 'la', 'mer');('proximité', 'centre', 'mer');1
1661;(('EG', 'ET'), ('nmod',));('Impasse', 'de', 'les Escaliers', 'à', 'Roquebrune Cap Martin', ',', 'à', 'proximité');('Impasse', 'proximité');0
1662;(('ET', 'TOPONYME'), ('nmod',));('minutes', 'de', 'Nice');('minutes', 'Nice');1
1663;(('ET', 'EG', 'TOPONYME'), ('nmod', 'appos'));('sein', 'de', 'le', 'quartier', 'prisé', 'résidentiel', 'qualitatif', 'Saint Andrieu');('sein', 'quartier', 'Saint Andrieu');0
1664;(('ET', 'TOPONYME', 'EG'), ('nmod', 'conj'));('minutes', 'de', 'Nice', 'et', 'de', 'la', 'technopole');('minutes', 'Nice', 'technopole');1
1665;(('ET', 'EG'), ('nmod',));('kilomètres', 'de', 'plages');('kilomètres', 'plages');1
1666;(('ET', 'EG'), ('nmod',));('sein', 'de', 'le', 'quartier');('sein', 'quartier');1
1667;(('EG', 'ET'), ('conj',));('littoral', 'et', 'accès');('littoral', 'accès');0
1668;(('ET', 'EG', 'TOPONYME'), ('obl:arg', 'nmod'));('Proche', 'de', 'la', 'nouvelle', 'université', 'de', 'Cannes la Bocca');('Proche', 'université', 'Cannes la Bocca');0
1669;(('ET', 'EG'), ('obl:arg',));('Proche', 'de', 'la', 'nouvelle', 'université');('Proche', 'université');1
1670;(('ET', 'EG', 'EG'), ('obl:arg', 'conj'));('Proche', 'de', 'la', 'nouvelle', 'université', 'de', 'Cannes la Bocca', ',', 'de', 'le', 'centre');('Proche', 'université', 'centre');1
1671;(('ET', 'TOPONYME'), ('nmod',));('cœur', 'de', 'l', 'Arénas');('cœur', 'Arénas');1
1672;(('ET', 'EG', 'TOPONYME'), ('appos', 'appos'));('accès', 'direct', 'voie', 'Mathis');('accès', 'voie', 'Mathis');0
1673;(('ET', 'EG', 'TOPONYME'), ('nmod', 'nmod'));('Proche', 'entrée', 'd', 'Autoroutes');('Proche', 'entrée', 'Autoroutes');0
1674;(('ET', 'EG'), ('nmod',));('Proche', 'Tramway');('Proche', 'Tramway');1
1675;(('ET', 'EG'), ('flat:name',));('Proche', 'mer');('Proche', 'mer');1
1676;(('ET', 'EG'), ('nmod',));('proximité', 'de', 'les', 'commerces');('proximité', 'commerces');1
1677;(('ET', 'EG', 'EG'), ('nmod', 'conj'));('proximité', 'de', 'les', 'commerces', ',', 'écoles');('proximité', 'commerces', 'écoles');1
1678;(('ET', 'EG', 'EG'), ('nmod', 'conj'));('proximité', 'de', 'les', 'commerces', ',', 'écoles', 'et', 'transports');('proximité', 'commerces', 'transports');1
1679;(('ET', 'EG', 'EG'), ('nmod', 'appos'));('proximité', 'de', 'les', 'commerces', ',', 'écoles', 'et', 'transports', '(', 'Tramway');('proximité', 'commerces', 'Tramway');0
1680;(('ET', 'EG'), ('nmod',));('min', 'de', 'l', 'aéroport');('min', 'aéroport');1
1681;(('ET', 'ET', 'EG'), ('conj', 'appos'));('min', 'de', 'l', 'aéroport', 'et', 'accès', 'direct', 'voie');('min', 'accès', 'voie');0
1682;(('ET', 'EG'), ('appos',));('accès', 'direct', 'voie');('accès', 'voie');1
1683;(('ET', 'EG'), ('nmod',));('Proche', 'entrée');('Proche', 'entrée');1
1684;(('ET', 'EG'), ('flat:name',));('Vue', 'mer');('Vue', 'mer');1
1685;(('ET', 'EG'), ('nmod',));('vue', 'mer');('vue', 'mer');1
1686;(('TOPONYME', 'ADP', 'ET'), ('advmod', 'fixed'));('Vieux Nice', ',', 'en', 'face');('Vieux Nice', 'en', 'face');0
1687;(('ET', 'EG', 'TOPONYME'), ('nmod', 'conj'));('proximité', 'immédiate', 'de', 'les', 'commerces', ',', 'de', 'la', 'mer', 'et', 'de', 'le', 'vieil Antibes');('proximité', 'commerces', 'vieil Antibes');1
1688;(('ET', 'EG'), ('nmod',));('proximité', 'immédiate', 'de', 'les', 'commerces');('proximité', 'commerces');1
1689;(('ET', 'EG', 'EG'), ('nmod', 'conj'));('proximité', 'immédiate', 'de', 'les', 'commerces', ',', 'de', 'la', 'mer');('proximité', 'commerces', 'mer');1
1690;(('ET', 'MD', 'EG'), ('nmod', 'conj'));('minutes', 'en', 'voiture', 'ou', 'en', 'bus');('minutes', 'voiture', 'bus');0
1691;(('TOPONYME', 'ET'), ('nmod',));('Avion', '(', '3', 'km');('Avion', 'km');1
1692;(('EG', 'ET'), ('nmod',));('pas', 'des', 'plages');('plages', 'pas');1
1693;(('EG', 'ADP', 'ET'), ('advmod', 'fixed'));('Commerces loisirs', 'à', 'proximité');('Commerces loisirs', 'à', 'proximité');1
1694;(('EG', 'EG', 'ET'), ('appos', 'nmod'));('Commerces loisirs', 'à', 'proximité', ':', 'Commerces', '(', '100', 'm');('Commerces loisirs', 'Commerces', 'm');0
1695;(('EG', 'ET'), ('nmod',));('Commerces', '(', '100', 'm');('Commerces', 'm');1
1696;(('EG', 'ET'), ('appos',));('Promenade', 'de', 'la', 'Plage', '(', '100', 'm');('Promenade', 'm');1
1697;(('EG', 'PROPN', 'ET'), ('appos', 'appos'));('Restaurants', 'gastronomiques', ':', 'le', 'Charlot', '1', 'er', '(', '200', 'm');('Restaurants', 'Charlot', 'm');0
1698;(('EG', 'ET'), ('appos',));('Marché', 'de', 'le', 'village', '(', '200', 'm');('Marché', 'm');1
1699;(('EG', 'ET'), ('appos',));('Marché', 'à', 'les', 'poissons', '(', '400', 'm');('Marché', 'm');1
1700;(('EG', 'EG', 'ET'), ('appos', 'nmod'));('Transports en commun', ':', 'Bus', '(', '100', 'm');('Transports en commun', 'Bus', 'm');0
1701;(('EG', 'ET'), ('nmod',));('Bus', '(', '100', 'm');('Bus', 'm');1
1702;(('EG', 'EG', 'ET'), ('nmod', 'nmod'));('arrêts de bus', 'avec', 'des', 'départs fréquents', '(', 'toutes', 'les', '15', 'minutes');('arrêts de bus', 'départs fréquents', 'minutes');0
1703;(('EG', 'ET'), ('nmod',));('départs fréquents', '(', 'toutes', 'les', '15', 'minutes');('départs fréquents', 'minutes');1
1704;(('EG', 'ET'), ('appos',));('Train', '(', '400', 'm');('Train', 'm');1
1705;(('EG', 'TOPONYME', 'ET'), ('root', 'nmod'));('Avion', '(', '3', 'km', ')', ':', 'aéroport', 'Nice Côte d Azur', 'à', 'moins', 'de', '10', 'minutes', 'en', 'voiture', 'ou', 'en', 'bus');('bus', 'Avion', 'km');0
1706;(('EG', 'ADV', 'ET'), ('nmod', 'dep:comp'));('aéroport', 'Nice Côte d Azur', 'à', 'moins', 'de', '10', 'minutes');('aéroport', 'moins', 'minutes');1
1707;(('ET', 'EG', 'TOPONYME'), ('nmod', 'appos'));('minutes', 'de', 'l', 'aéroport', 'Nice Côte d Azur');('minutes', 'aéroport', 'Nice Côte d Azur');0
1708;(('ET', 'EG'), ('nmod',));('minutes', 'de', 'les', 'commerces');('minutes', 'commerces');1
1709;(('ET', 'ET', 'EG'), ('conj', 'nmod'));('minutes', 'de', 'les', 'commerces', ',', 'à', '20', 'minutes', 'de', 'l', 'aéroport');('minutes', 'minutes', 'aéroport');0
1710;(('ET', 'ET', 'EG'), ('conj', 'nmod'));('minutes', 'de', 'les', 'commerces', ',', 'à', '20', 'minutes', 'de', 'l', 'aéroport', 'Nice Côte d Azur', 'et', 'à', '5', 'minutes', 'de', 'le', 'Port');('minutes', 'minutes', 'Port');0
1711;(('ET', 'EG'), ('nmod',));('minutes', 'de', 'l', 'aéroport');('minutes', 'aéroport');1
1712;(('ET', 'EG'), ('nmod',));('minutes', 'de', 'le', 'Port');('minutes', 'Port');1
1713;(('ET', 'EG', 'EG'), ('nmod', 'conj'));('minutes', 'de', 'le', 'Port', 'et', 'Plages');('minutes', 'Port', 'Plages');1
1714;(('ET', 'EG', 'TOPONYME'), ('nmod', 'nmod'));('coeur', 'de', 'le', 'quartier', 'de', 'l', 'Eco Vallée');('coeur', 'quartier', 'Eco Vallée');0
1715;(('ET', 'EG'), ('nmod',));('coeur', 'de', 'le', 'quartier');('coeur', 'quartier');1
1716;(('EG', 'ET'), ('nmod',));('Gare', 'à', '2', 'km');('Gare', 'km');1
1717;(('EG', 'EG', 'ET'), ('conj', 'nmod'));('Gare', 'à', '2', 'km', 'et', 'l', 'aéroport', 'Sophia Antipolis', 'à', '3', 'km');('Gare', 'aéroport', 'km');0
1718;(('EG', 'ET'), ('nmod',));('aéroport', 'Sophia Antipolis', 'à', '3', 'km');('aéroport', 'km');1
1719;(('EG', 'ADP', 'ET'), ('advmod', 'fixed'));('Pharmacie', ',', 'supérette', 'et', 'restaurants', 'à', 'proximité');('Pharmacie', 'à', 'proximité');1
1720;(('EG', 'ADP', 'ET'), ('advmod', 'fixed'));('entreprises', 'à', 'proximité');('entreprises', 'à', 'proximité');1
1721;(('ET', 'EG'), ('nmod',));('vue', 'dégagée', 'sur', 'les', 'espaces verts');('vue', 'espaces verts');1
1722;(('ET', 'EG', 'EG'), ('nmod', 'conj'));('vue', 'dégagée', 'sur', 'les', 'espaces verts', 'et', 'les', 'collines');('vue', 'espaces verts', 'collines');1
1723;(('ET', 'EG'), ('obl:arg',));('proche', 'de', 'le', 'centre');('proche', 'centre');1
1724;(('ET', 'EG', 'EG'), ('obl:arg', 'conj'));('proche', 'de', 'le', 'centre', 'et', 'de', 'les', 'commerces');('proche', 'centre', 'commerces');1
1725;(('TOPONYME', 'ET'), ('conj',));('Antibes', ',', 'secteur', 'recherché', 'de', 'la Peyregoue', ',', 'vente', '2', 'pièces', 'de', '50', 'm²', 'dans', 'une', 'résidence', 'de', 'standing', 'avec', 'piscine', ',', 'espaces', 'verts', 'et', 'terrain', 'de', 'boules', ',', 'proche');('Antibes', 'proche');0
1726;(('ET', 'EG'), ('nmod',));('proximité', 'de', 'le', 'centre ville');('proximité', 'centre ville');1
1727;(('ET', 'EG'), ('flat:name',));('PROCHE', 'MER');('PROCHE', 'MER');1
1728;(('ET', 'EG'), ('obj',));('Proche', 'des', 'commerces');('Proche', 'commerces');1
1729;(('ET', 'EG', 'EG'), ('obj', 'conj'));('Proche', 'des', 'commerces', 'et', 'des', 'commodités');('Proche', 'commerces', 'commodités');1
1730;(('ET', 'EG', 'TOPONYME'), ('nmod', 'nmod'));('Début', 'Promenade', 'de', 'les Anglais');('Début', 'Promenade', 'les Anglais');1
1731;(('ET', 'EG'), ('nmod',));('Début', 'Promenade');('Début', 'Promenade');1
1732;(('ET', 'EG'), ('appos',));('vue', 'mer');('vue', 'mer');1
1733;(('ET', 'MD', 'EG'), ('nmod', 'nmod'));('Min', 'en', 'voiture', 'de', 'la', 'ville');('Min', 'voiture', 'ville');1
1734;(('ET', 'EG', 'TOPONYME'), ('nmod', 'nmod'));('min', 'en', 'voiture', 'de', 'la', 'gare', 'd', 'Antibes');('min', 'gare', 'Antibes');0
1735;(('ET', 'EG'), ('nmod',));('coeur', 'd', 'espaces verdoyants');('coeur', 'espaces verdoyants');1
1736;(('ET', 'MD', 'EG'), ('nmod', 'nmod'));('min', 'en', 'voiture', 'de', 'le', 'centre ville');('min', 'voiture', 'centre ville');1
1737;(('ET', 'EG'), ('nmod',));('min', 'en', 'voiture', 'de', 'la', 'gare');('min', 'gare');1
1738;(('ET', 'EG'), ('nmod',));('proche', 'de', 'les', 'établissements scolaires');('proche', 'établissements scolaires');1
1739;(('ET', 'EG', 'EG'), ('nmod', 'appos'));('proche', 'de', 'les', 'établissements scolaires', ',', 'plage');('proche', 'établissements scolaires', 'plage');0
1740;(('EG', 'EG', 'ET'), ('appos', 'nmod'));('établissements scolaires', ',', 'plage', 'à', '10', 'min');('établissements scolaires', 'plage', 'min');0
1741;(('EG', 'ET'), ('nmod',));('plage', 'à', '10', 'min');('plage', 'min');1
1742;(('ET', 'EG', 'TOPONYME'), ('nmod', 'nmod'));('Accès', 'direct', 'à', 'le', 'Parc', 'de', 'l', 'Esterel');('Accès', 'Parc', 'Esterel');0
1743;(('ET', 'EG'), ('nmod',));('Accès', 'direct', 'à', 'le', 'Parc');('Accès', 'Parc');1
1744;(('ET', 'EG', 'EG'), ('nmod', 'conj'));('Accès', 'direct', 'à', 'le', 'Parc', 'de', 'l', 'Esterel', 'et', 'à', 'les', 'sentiers de randonnée');('Accès', 'Parc', 'sentiers de randonnée');1
1745;(('ET', 'EG'), ('conj',));('km', 'de', 'la', 'résidence', 'et', 'le', 'centre ville');('km', 'centre ville');0
1746;(('EG', 'ET'), ('nmod',));('hauteurs', 'avec', 'vue');('hauteurs', 'vue');0
1747;(('EG', 'ET'), ('nmod',));('centre ville', 'à', '5', 'kilomètres');('centre ville', 'kilomètres');1
1748;(('ET', 'EG'), ('nmod',));('coeur', 'de', 'la', 'technopole');('coeur', 'technopole');1
1749;(('ET', 'EG', 'TOPONYME'), ('nmod', 'nmod'));('non loin', 'de', 'la', 'technopole', 'de', 'Sophia Antipolis');('non loin', 'technopole', 'Sophia Antipolis');0
1750;(('ET', 'EG'), ('nmod',));('proche', 'de', 'l', 'accès autoroute');('proche', 'accès autoroute');1
1751;(('ET', 'EG'), ('conj',));('proche', 'de', 'l', 'accès autoroute', ',', 'des', 'transports');('proche', 'transports');1
1752;(('ET', 'EG', 'EG'), ('conj', 'conj'));('proche', 'de', 'l', 'accès autoroute', ',', 'des', 'transports', ',', 'commerces');('proche', 'transports', 'commerces');1
1753;(('ET', 'EG', 'EG'), ('conj', 'conj'));('proche', 'de', 'l', 'accès autoroute', ',', 'des', 'transports', ',', 'commerces', ',', 'commodités');('proche', 'transports', 'commodités');1
1754;(('ET', 'EG'), ('nmod',));('non loin', 'de', 'la', 'technopole');('non loin', 'technopole');1
1755;(('ET', 'ADJ', 'EG'), ('amod', 'obl:mod'));('vue', 'agréablement', 'dégagée', 'sur', 'la', 'verdure');('vue', 'dégagée', 'verdure');1
1756;(('EG', 'ET'), ('conj',));('transports', ',', 'commerces', ',', 'commodités', 'et', 'non loin');('transports', 'non loin');0
1757;(('ET', 'EG'), ('nmod',));('vue', 'mer');('vue', 'mer');1
1758;(('TOPONYME', 'NOUN', 'ET'), ('nmod', 'nmod'));('NICE', 'CIMIEZ', 'Joli', 'F1', 'de', '36', 'm²', 'en', 'étage', 'élevé', ',', 'avec', 'grande', 'terrasse', 'vue');('NICE', 'terrasse', 'vue');0
1759;(('ET', 'EG'), ('nmod',));('pieds', 'de', 'les', 'commodités');('pieds', 'commodités');1
1760;(('EG', 'ET'), ('nmod',));('Square', 'Carnot', ',', 'à', 'le', 'pieds');('Square', 'pieds');0
1761;(('ET', 'EG', 'TOPONYME'), ('nmod', 'nmod'));('minutes', 'de', 'les', 'plages', 'de', 'Mandelieu');('minutes', 'plages', 'Mandelieu');0
1762;(('ET', 'EG', 'TOPONYME'), ('nmod', 'nmod'));('minutes', 'de', 'l', 'aéroport', 'de', 'Nice');('minutes', 'aéroport', 'Nice');0
1763;(('ET', 'EG'), ('obl:arg',));('proche', 'de', 'le', 'village');('proche', 'village');1
1764;(('ET', 'EG'), ('nmod',));('minutes', 'de', 'les', 'plages');('minutes', 'plages');1
1765;(('ET', 'ET', 'EG'), ('conj', 'nmod'));('minutes', 'de', 'les', 'plages', 'de', 'Mandelieu', ',', '30', 'minutes', 'de', 'l', 'aéroport');('minutes', 'minutes', 'aéroport');0
1766;(('ET', 'EG'), ('nmod',));('minutes', 'de', 'l', 'aéroport');('minutes', 'aéroport');1
1767;(('TOPONYME', 'ET'), ('amod',));('Roquette sur Siagne', ',', 'proche');('Roquette sur Siagne', 'proche');0
1768;(('ET', 'EG'), ('nmod',));('pieds', 'de', 'les', 'commodités');('pieds', 'commodités');1
1769;(('TOPONYME', 'ET'), ('nmod',));('Le Cannet', 'Carnot', ',', 'à', 'le', 'pieds');('Le Cannet', 'pieds');0
1770;(('ET', 'EG'), ('nmod',));('pieds', 'de', 'les', 'commodités');('pieds', 'commodités');1
1771;(('TOPONYME', 'ET'), ('nmod',));('Le Cannet', 'Carnot', ',', 'à', 'le', 'pieds');('Le Cannet', 'pieds');0
1772;(('ET', 'EG'), ('nmod',));('vue', 'dégagée', 'sur', 'la', 'marina');('vue', 'marina');1
1773;(('ET', 'EG'), ('nmod',));('vue', 'dégagée', 'collines');('vue', 'collines');1
1774;(('ET', 'EG'), ('obl:arg',));('Proche', 'de', 'les', 'commodités');('Proche', 'commodités');1
1775;(('TOPONYME', 'EG', 'ET'), ('appos', 'nmod'));('NICE', 'OUEST', 'EXPOSITION', 'SUD', 'OUEST', 'VUE', 'MER');('NICE', 'MER', 'VUE');0
1776;(('EG', 'ET'), ('nmod',));('VUE', 'MER');('MER', 'VUE');1
1777;(('ET', 'EG'), ('nmod',));('mètres', 'de', 'les', 'plages');('mètres', 'plages');1
1778;(('ET', 'EG'), ('conj',));('mètres', 'de', 'les', 'plages', ',', 'commerces');('mètres', 'commerces');1
1779;(('ET', 'EG', 'EG'), ('conj', 'conj'));('mètres', 'de', 'les', 'plages', ',', 'commerces', 'et', 'restaurants');('mètres', 'commerces', 'restaurants');1
1780;(('ET', 'TOPONYME'), ('nmod',));('coeur', 'de', 'le', 'viel Antibes');('coeur', 'viel Antibes');1
1781;(('ET', 'EG', 'TOPONYME'), ('nmod', 'appos'));('vue', 'sur', 'les', 'tours', 'sarrazines');('vue', 'tours', 'sarrazines');0
1782;(('ET', 'EG'), ('nmod',));('vue', 'sur', 'les', 'tours');('vue', 'tours');1
1783;(('ET', 'EG'), ('nmod',));('mètres', 'de', 'la', 'MER');('mètres', 'MER');1
1784;(('ET', 'EG'), ('nmod',));('Accès', 'direct', 'à', 'la', 'Plage');('Accès', 'Plage');1
1785;(('TOPONYME', 'ET'), ('appos',));('CANNES', 'Bas Croix de les Gardes', ',', '50', 'mètres');('CANNES', 'mètres');0
1786;(('ET', 'EG'), ('nmod',));('mètres', 'de', 'les', 'plages');('mètres', 'plages');1
1787;(('ET', 'EG'), ('conj',));('mètres', 'de', 'les', 'plages', ',', 'commerces');('mètres', 'commerces');1
1788;(('ET', 'EG', 'EG'), ('conj', 'conj'));('mètres', 'de', 'les', 'plages', ',', 'commerces', 'et', 'restaurants');('mètres', 'commerces', 'restaurants');1
1789;(('ET', 'EG'), ('appos',));('vue', 'mer');('vue', 'mer');1
1790;(('TOPONYME', 'ET'), ('conj',));('Bas Montfleury', ',', 'rue', 'd', 'Antibes', 'à', 'pied', ',', '2', 'pièces', '58', 'm²', ',', 'en', '5', 'e', 'étage', ',', 'plein', 'sud', ',', 'vue');('Bas Montfleury', 'vue');0
1791;(('ET', 'TOPONYME'), ('nmod',));('coeur', 'de', 'le', 'Carré d Or');('coeur', 'Carré d Or');1
1792;(('ET', 'ET', 'TOPONYME'), ('conj', 'nmod'));('coeur', 'de', 'le', 'Carré d Or', 'et', 'à', 'deux', 'pas', 'de', 'la', 'Promenade de les Anglais');('coeur', 'pas', 'Promenade de les Anglais');0
1793;(('ET', 'TOPONYME'), ('nmod',));('pas', 'de', 'la', 'Promenade de les Anglais');('pas', 'Promenade de les Anglais');1
1794;(('TOPONYME', 'ET'), ('nmod',));('NICE', 'CARRE D OR', 'à', 'le', 'coeur');('NICE', 'coeur');0
1795;(('TOPONYME', 'ET', 'ET'), ('nmod', 'conj'));('NICE', 'CARRE D OR', 'à', 'le', 'coeur', 'de', 'le', 'Carré d Or', 'et', 'à', 'deux', 'pas');('NICE', 'coeur', 'pas');0
1796;(('ET', 'EG'), ('flat:name',));('PROCHE', 'CENTRE VILLE');('PROCHE', 'CENTRE VILLE');1
1797;(('ET', 'EG'), ('nmod',));('pas', 'de', 'le', 'centre ville');('pas', 'centre ville');1
1798;(('ET', 'EG', 'EG'), ('nmod', 'conj'));('pas', 'de', 'le', 'centre ville', ',', 'des', 'commerces');('pas', 'centre ville', 'commerces');1
1799;(('ET', 'EG', 'EG'), ('nmod', 'conj'));('pas', 'de', 'le', 'centre ville', ',', 'des', 'commerces', 'et', 'de', 'la', 'plage');('pas', 'centre ville', 'plage');1
1800;(('TOPONYME', 'ET'), ('flat:name',));('ANTIBES', 'PROCHE');('ANTIBES', 'PROCHE');0
1801;(('ET', 'EG'), ('obl:arg',));('proche', 'de', 'toutes', 'les', 'commodités');('proche', 'commodités');1
1802;(('EG', 'ET'), ('amod',));('centre ville', 'proche');('centre ville', 'proche');0
1803;(('ET', 'EG', 'TOPONYME'), ('nmod', 'conj'));('vue', 'mer', 'et', 'Cap Ferrat');('vue', 'mer', 'Cap Ferrat');1
1804;(('ET', 'EG', 'TOPONYME'), ('nmod', 'nmod'));('m', 'de', 'les', 'plages', 'de', 'la', 'Promenade de les Anglais');('m', 'plages', 'Promenade de les Anglais');0
1805;(('ET', 'EG'), ('nmod',));('vue', 'mer');('vue', 'mer');1
1806;(('ET', 'EG'), ('obj',));('proche', 'toutes', 'commodités');('proche', 'commodités');1
1807;(('ET', 'EG', 'EG'), ('obj', 'appos'));('proche', 'toutes', 'commodités', '(', 'tous', 'commerces');('proche', 'commodités', 'commerces');0
1808;(('ET', 'EG'), ('nmod',));('m', 'de', 'les', 'plages');('m', 'plages');1
1809;(('ET', 'EG'), ('nmod',));('accès', 'à', 'l', 'autoroute');('accès', 'autoroute');1
1810;(('TOPONYME', 'NOUN', 'ET'), ('conj', 'nmod'));('NICE', ',', 'Grand', 'studio', 'de', '30', 'm²', ',', 'confortable', ',', 'grande', 'terrasse', 'équipée', 'de', '12', 'm²', 'avec', 'vue');('NICE', 'terrasse', 'vue');0
1811;(('TOPONYME', 'VERB', 'ET'), ('acl', 'conj'));('NICE', ',', 'Grand', 'studio', 'de', '30', 'm²', ',', 'confortable', ',', 'grande', 'terrasse', 'équipée', 'de', '12', 'm²', 'avec', 'vue', 'mer', 'et', 'Cap Ferrat', ',', '2', 'bons', 'couchages', 'en', '140', ',', 'situé', 'dans', 'résidence', 'récente', ',', 'calme', 'et', 'sécurisée', ',', 'proche');('NICE', 'situé', 'proche');0
